sr
0.73
0.76
0.76
0.75
0.77
0.74
0.74
0.79
0.74
0.76
0.77
0.73
0.72
0.72
0.72
0.75
0.72
0.75
0.73
0.73
0.75
0.77
0.72
0.72
0.75
0.75
0.74
0.74
0.77
0.72
