sr
0.52
0.52
0.56
0.61
0.54
0.52
0.55
0.6799999999999999
0.53
0.54
0.51
0.54
0.6799999999999999
0.96
0.54
0.55
0.52
0.55
0.52
0.51
0.75
0.76
0.54
0.56
0.5700000000000001
0.6599999999999999
0.52
0.54
0.52
0.51
