sr
0.86
0.8200000000000001
0.87
0.69
0.85
0.79
0.81
0.7
0.76
0.79
0.81
0.73
0.9
0.89
0.76
0.87
0.81
0.86
0.78
0.9
0.8200000000000001
0.85
0.79
0.73
0.8
0.75
0.75
0.72
0.84
0.79
