sr
0.49
0.51
0.5700000000000001
0.41000000000000003
0.55
0.49
0.52
0.48
0.5700000000000001
0.47
0.52
0.52
0.54
0.5700000000000001
0.42000000000000004
0.51
0.5700000000000001
0.42000000000000004
0.56
0.5
0.56
0.47
0.43999999999999995
0.53
0.61
0.47
0.52
0.51
0.49
0.5900000000000001
