sr
0.6799999999999999
0.8
0.75
0.77
0.8
0.74
0.74
0.76
0.71
0.74
0.78
0.77
0.74
0.73
0.81
0.74
0.7
0.7
0.6799999999999999
0.71
0.77
0.77
0.6699999999999999
0.77
0.69
0.6599999999999999
0.78
0.75
0.77
0.75
