0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1.6341804923430846e-07,3.1457649927596875e-18,8.285072471798796e-30,6.331459054990362e-41,3.2605233871887932e-52,2.1152867216138081e-63,2.4121918439925337e-74,9.654889324855864e-86,3.534910133612478e-97,2.8528987745289753e-108,3.7241489307291606e-119,3.0247551063125102e-130,7.308546194316638e-141,5.945374093329718e-101,4.754939147271109e-69,9.994115939697109e-35,2.1141763094173892e-17,0.012493313464194578,84.6763138050134,60.76172195845063,30.70806749261011,22.726836760677372,18.802665948918023,7.3630781181342755,3.4079997462058564,0.6561687997250681,1.5188214009995335e-11,4.272057871582327e-22,2.0015589102729269e-32,7.313769987513208e-43,1.0646555587755835e-53,5.867982091952631e-65,3.405642034538016e-76,3.800773054372127e-87,5.036692936090804e-98,1.3729210474162794e-109,6.019709641870829e-121,7.780593311548316e-132,2.095130011340867e-90,1.3222106915260557e-51,7.9330089536549e-26,6.32660007128324e-13,0.2191252741478974,47.36860161960091,33.24988181263979,27.256959679025236,24.496081276852173,9.292712376482754,1.236505346852782,1.6625071477752325,0.27809152120626207,9.014498606097377e-12,6.651770860243e-23,3.080390719890858e-34,6.68438593964001e-45,4.096363226700155e-56,3.462958328921833e-67,1.9631971267317057e-78,1.0819787335309e-89,8.597200087597226e-101,1.1809182566194019e-111,2.4859612539601275e-122,7.272218254565793e-133,3.213026631953058e-94,
6.096981452024725e-09,3.8729098779240794e-20,9.132678142476837e-31,7.245206706907756e-42,1.8752223407711123e-52,3.086460981376064e-63,2.489504426370083e-74,3.5426033637499207e-85,4.454226693573212e-96,3.805691840862662e-107,1.4161671844890765e-118,2.7601714081703298e-129,2.1888885106287424e-140,8.978174532361272e-97,2.913290855827958e-64,1.0203141184851192e-30,8.830139072077024e-18,3.931620086096777e-06,124.19274680639607,74.14760042248692,59.71791485647461,57.1693137175644,55.36819180366592,50.630672995193336,49.99776468241918,48.186675480109436,25.00000000000041,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,33.27741916470889,34.447570801399976,37.79380992572221,36.65515478252369,40.501477259297005,38.71553351020225,37.77629896284521,37.116646838868355,28.630640405677386,25.021606634780877,25.108031311046958,25.00000000000242,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,34.35662093599616
7.226859216148393e-09,6.561091206000819e-20,7.240465915695113e-31,4.889622401846262e-42,4.572281965103117e-53,5.589901670857467e-64,8.933478926411548e-75,1.2209653712351e-85,7.141891370857567e-97,1.9113548645264882e-107,6.853321522645068e-119,3.3709625963949946e-130,5.321560390346538e-141,1.09598270133349e-105,2.9771271908313725e-67,1.3014178896707646e-30,2.87862392347891e-18,2.8995227009625806e-06,82.31199766191655,50.18829290886626,31.194028092540762,23.054540179710678,18.790602731959282,7.643031178897088,3.449604709398551,0.6569437221875885,2.446582159098796e-11,6.826961638491437e-22,3.485533523128076e-33,4.0721736529437727e-44,2.3631305605307875e-55,7.075671518594205e-66,3.115336674399156e-76,2.8468563563616657e-87,2.6519204458361638e-98,5.439956828611279e-109,5.917554762576182e-120,2.3456624261415037e-130,6.318570176655568e-91,4.3208186150548845e-56,2.600869094358477e-26,2.9989200002103e-15,0.32078097459967414,34.8890740944657,28.047602062397992,25.595676643212713,24.50132699276498,9.103027355265134,1.1764464709652875,1.576385386829137,0.26048866741576626,1.2789271620341959e-11,3.358517834250885e-22,4.878142586170388e-33,7.668544821105368e-44,7.852201850319414e-55,3.107476793552029e-66,1.0860108821225723e-77,1.4868193319708742e-88,1.3201062704921135e-99,6.479565168039991e-111,7.509186395879018e-122,3.954654965582822e-133,1.580984525885312e-96,
2.4438002984142777e-09,4.161037409845603e-20,8.183159408228882e-31,7.3028159777993e-42,6.889778247300064e-53,1.1254107553332499e-63,2.36325198988615e-74,2.2075457189295322e-85,1.8091428439551087e-95,8.410056869318458e-106,8.241516709924462e-117,5.557391364500037e-128,1.1470096066887778e-138,2.0382949834456162e-102,1.919748777140043e-65,4.5661864688702184e-27,1.1055603742353284e-17,7.140478436813753e-05,62.21821633929877,47.15292694334999,28.329739226738617,24.051011437562543,19.503783379571352,7.227087207570199,3.4399012128264026,0.6714786467122459,1.5916176259095345e-11,1.3657321324154993e-22,6.050452994606798e-33,7.608521034341036e-44,1.2354075510215187e-54,1.4239891084417736e-65,3.0934659416592085e-76,2.7547325596774277e-87,5.831448575366915e-98,7.82604502130141e-109,1.0210112648934732e-120,2.724340107319964e-131,3.4732641813550715e-92,2.340439121631609e-59,4.138029232096541e-26,3.1972240047294956e-15,34.55541580701232,43.952342517270694,37.67675216410099,32.17917610759544,27.718453573603693,9.629254186681294,1.2598659642440035,1.6952182126280637,0.2900236493348976,5.0993383793444615e-12,3.866814659273921e-23,3.1187774739459203e-34,7.464200758923481e-45,5.51435005145996e-56,1.0812244243157062e-66,4.1608865954290634e-78,1.2876709109335352e-89,1.0879223974704403e-100,2.633917075605588e-111,1.185106022176604e-121,6.7095107092750865e-133,2.041898574432121e-96,
1.390894025822657e-09,2.0819757735348198e-20,9.159497166634385e-31,1.3045254948817518e-41,1.1655637295208804e-52,7.189444916976701e-64,3.6600552253266343e-75,2.7493166198241685e-86,2.1353940520439905e-97,3.871360115112063e-108,4.5717814214834133e-119,1.9942837615624054e-129,6.403369934775501e-140,3.5172358766463164e-101,1.089762162745145e-67,1.1724410010948072e-32,6.462819093083188e-18,0.003110380973756395,85.28337463934984,45.17987508153059,28.565754658746783,23.024163919773343,17.239748514983894,7.11792761945262,3.4376459543215314,0.6861013559785022,9.664887054176536e-12,6.296976377769844e-23,1.7801706198375029e-34,1.2486285087488265e-45,1.9942255672588237e-56,1.9555659460577607e-67,7.239979757946338e-78,3.2757359494114136e-89,6.64438030156061e-101,5.893277466837691e-112,7.41506041706225e-123,7.514869942381e-134,9.66382649711899e-97,1.065579814906019e-62,2.316887649272481e-27,6.216630539809024e-16,0.013562955758065811,38.397080363098816,28.501149776751483,24.455299969449793,22.149016996516625,8.446662137587369,1.1787139514851823,1.5824573879330681,0.26202690993391714,1.0241531673612931e-11,2.0961484080813334e-22,2.7678199433682077e-33,1.3878962313317438e-44,1.6197581597081033e-55,2.6404379793724693e-66,1.4863091077337027e-76,4.503503963604679e-87,7.461435752875608e-98,7.822981744955602e-109,1.972458303741077e-119,2.771953523106856e-130,1.8003955989334604e-89,
1.1302586651070574e-09,1.3946197941145505e-20,4.953048906300673e-31,1.5414144292363302e-41,2.6607618986376522e-52,4.7113640752706377e-63,7.556057561179374e-74,1.6543766466191648e-84,2.3736096708991703e-94,1.9306399146865944e-105,2.3705585575967937e-116,2.22993737611136e-127,1.819297612107382e-138,5.183131530701075e-103,5.001791996669264e-63,1.1867223995544583e-29,2.35823235738938e-18,1.719602686146979e-06,93.9922582669463,65.79752543972673,44.467706690478664,38.88773186305682,35.53816855508149,27.933533367284507,25.8007525966575,25.00000000002784,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,36.07332034393265,32.0175233465729,36.68241832077061,36.21961804873137,40.57284426155658,39.01397528329275,37.7788063696467,37.118741028351934,28.616234532730356,25.021522650711685,25.106964016221994,25.000000000004434,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,39.07912048843003
9.209580195771957e-09,3.477475007779131e-19,7.912933653001866e-30,7.451165410362802e-41,2.258837199821012e-51,2.3585610603401724e-62,2.860653872350098e-73,2.1769878549591444e-84,2.6157697554872282e-95,3.0760459913464967e-106,3.386920758745115e-117,5.27146037183983e-128,5.872306215733619e-139,7.741795596958594e-100,4.819461005553079e-66,1.2101552421508076e-30,1.8055535454880344e-12,0.00010093122344906534,91.33237146244065,55.76952645862602,43.86321618064402,40.29910801433815,36.81934628115979,28.439531319358554,25.921054878958962,25.000000000002107,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,32.18579825399007,32.75452165891098,37.42044675209852,35.757850288211536,39.97239523013063,38.54550769091217,37.76698031590573,37.13161704117411,28.644777725232455,25.021569355644186,25.106399951384645,25.00000000001242,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,35.86550819314706
2.048453483966222e-09,1.7003029932180097e-20,8.849318385498531e-32,7.591512218339937e-43,2.8961990356230525e-53,1.1576585228411655e-64,3.572507370865824e-75,3.968622517063747e-86,7.427990626112298e-97,3.450625716451665e-108,1.34566584936034e-118,1.6349828406358584e-129,3.1107496126795513e-140,3.6297592469566248e-99,8.24612130052022e-67,1.7445458257137018e-30,4.75193949531533e-18,0.0008261500433059709,77.69418131043476,47.16240133045918,26.890994552905852,21.49952866310766,17.697869311130503,7.125905130835706,3.3240800021309673,0.6466953680263066,2.993830489343223e-11,9.736332356826773e-23,9.961447146044282e-34,1.5284757850196739e-44,1.9933006202403122e-55,2.890234353439666e-66,5.1818918491389884e-77,4.7467080125375707e-88,1.6090223406471018e-98,2.730921983940353e-109,1.0183379554312403e-120,1.605813774868137e-131,2.9770054024104295e-90,8.261162434929273e-57,7.798785148531931e-26,3.431345398102008e-14,0.31129075947519225,44.297075277025534,30.011799834943943,27.997792871420195,25.778076898966486,9.631601217387793,1.2706741370175723,1.6744887587449906,0.26160329728074944,4.713255822074828e-12,1.3426681394255898e-22,2.7541065252469482e-33,2.2939295697024437e-44,4.2941336049854835e-55,6.745100033344091e-66,9.935521420570013e-77,1.2191418830881233e-87,8.437149655044721e-99,1.0374674316700194e-109,1.586229835769232e-120,4.128348018450106e-131,6.691640307499808e-94,
1.0607892713529553e-08,3.064725029954393e-19,4.189074669143099e-30,7.905735814965828e-41,7.735132989200317e-52,1.7495175740503902e-62,1.97910062165971e-73,3.947694929831588e-84,1.6262590643142655e-94,6.696479527071499e-105,1.0724012772666985e-115,1.8096975358705562e-126,1.716354252087508e-137,2.4310428112911818e-101,1.2195198483028836e-63,1.794796290533084e-28,2.7182696168157148e-15,0.012617899838802949,83.03978568156747,53.935514629585725,30.064722261175444,22.949078637737955,18.358733737545588,7.50251752217906,3.440901829649517,0.6472064682617167,1.1409772926546458e-11,1.8543401239608547e-22,1.5271148513683396e-33,1.2692564167304863e-44,1.2934903336447863e-55,2.0271717298764887e-66,3.19106137041751e-77,8.424445241275159e-88,1.0371351788189326e-98,6.816442891796479e-110,2.232453041545547e-120,2.9534178573242037e-131,3.523075452486155e-90,8.632842991117733e-57,1.2008195428434039e-25,1.311086134404607e-13,65.05069208965432,41.74804337571239,30.74848516751203,24.02760543457618,21.835390071370124,8.940210184919891,1.2084531460276673,1.5338333803826545,0.2551965643173712,9.635190680676487e-12,1.1563924432286437e-22,1.0677587168056905e-33,2.5350734050791543e-44,1.40608819790015e-55,1.2483803672138086e-66,2.085493366425927e-77,4.7914759256205485e-88,2.641341334928259e-98,2.9136779040880343e-109,1.6429108435135976e-120,4.561618474971074e-131,3.404405538796882e-90,
3.75985494987445e-09,1.3651231049250668e-20,6.088001955601772e-31,1.3305151897502024e-41,1.640876442325132e-52,3.152247673317314e-63,2.773405043995772e-74,1.9579507203193155e-85,2.267964603150802e-96,1.7510075666819602e-107,1.3491762552748502e-118,1.4988845679699334e-129,4.607152862265779e-140,7.778603548070588e-103,2.0617583794170942e-66,7.63501251509232e-32,4.874841486624838e-18,0.0003644729120717183,79.53732731842737,50.54058653017946,30.879798604487533,24.391050674830968,19.208831539849204,7.480283028776043,3.5166197449464422,0.66649782478817,2.7697609809914353e-11,3.881103765935592e-22,8.693876228601468e-33,1.9265427044516454e-43,7.11534664655029e-55,5.97130820504871e-66,1.661512235404573e-76,7.582158146477562e-87,7.703298627500509e-98,5.987794041455026e-109,6.257387993245543e-120,4.0659067314355695e-131,3.2983613537302535e-92,8.997344367824103e-61,7.991969504860867e-29,4.9922915603859015e-15,6.373722454947434,38.619561947547936,29.45086995213024,24.167503444656575,21.610029028327478,8.603958800998088,1.1815846846496263,1.55752609493778,0.2549905465986651,2.9744487806469405e-10,2.2594016783119033e-21,1.1779559847970247e-31,2.254919394069282e-42,6.375527779282649e-53,6.210337602148268e-64,1.97302775412652e-74,2.656419533761552e-85,3.392300390577695e-96,8.141821542396505e-107,1.1151414067809948e-117,2.1530580330813752e-128,6.546380222529904e-87,1.2409717723583038e-56
